"location_id"	"parent_location_id"	"higher_geography_id"	"higher_geography"	"continent"	"water_body"	"island_group"	"island"	"country"	"country_code"	"state_province"	"county"	"municipality"	"locality"	"minimum_elevation_in_meters"	"maximum_elevation_in_meters"	"minimum_distance_above_surface_in_meters"	"maximum_distance_above_surface_in_meters"	"minimum_depth_in_meters"	"maximum_depth_in_meters"	"vertical_datum"	"location_according_to"	"location_remarks"	"decimal_latitude"	"decimal_longitude"	"geodetic_datum"	"coordinate_uncertainty_in_meters"	"coordinate_precision"	"point_radius_spatial_fit"	"footprint_wkt"	"footprint_srs"	"footprint_spatial_fit"	"georeferenced_by"	"georeferenced_date"	"georeference_protocol"	"georeference_sources"	"georeference_remarks"	"preferred_spatial_representation"
"loc_114"								"Chile"	"CH"	"Metropolitana de Santiago"				2200									-33.28	-70.26666667													
"loc_115"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.85	-70.48333333													
"loc_116"								"Chile"	"CH"	"Coquimbo"				2730									-31.76	-70.50919444													
"loc_117"								"Chile"	"CH"	"Coquimbo"													-31.5	-71.1													
"loc_118"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.62	-70.01666667													
"loc_119"								"Chile"	"CH"	"Metropolitana de Santiago"				2580									-33.62	-70.03138889													
"loc_120"								"Chile"	"CH"	"Bio Bio"				1834									-36.91	-71.41277778													
"loc_121"								"Chile"	"CH"	"Metropolitana de Santiago"				1650									-33.33	-70.33333333													
"loc_122"								"Chile"	"CH"	"Metropolitana de Santiago"				2400									-33.35	-70.28													
"loc_123"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.755	-69.919													
"loc_124"								"Chile"	"CH"	"O'Higgins"													-34.239	-70.421													
"loc_125"								"Chile"	"CH"	"O'Higgins"													-34.436	-71.384													
"loc_126"								"Chile"	"CH"	"Maule"													-36.025	-70.499													
"loc_127"								"Chile"	"CH"	"Ñuble"													-36.893	-71.505													
"loc_128"								"Chile"	"CH"	"Bio Bio"													-37.387	-71.367													
"loc_129"								"Chile"	"CH"	"Valparaiso"				101									-33.4	-71.63333333													
"loc_130"								"Chile"	"CH"	"Maule"													-36.42	-72.76666667													
"loc_131"								"Chile"	"CH"	"Valparaiso"				2398									-32.85	-70.13333333													
"loc_132"								"Chile"	"CH"	"Coquimbo"													-29.973	-70.564													
"loc_133"								"Chile"	"CH"	"Coquimbo"													-29.946	-71.22													
"loc_134"								"Chile"	"CH"	"Coquimbo"													-30.605	-71.142													
"loc_135"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.39	-71.271													
"loc_136"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.66	-70.323													
"loc_137"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.73	-70.479													
"loc_138"								"Chile"	"CH"	"O'Higgins"													-34.2	-70.522													
"loc_139"								"Chile"	"CH"	"O'Higgins"													-34.96	-70.425													
"loc_140"								"Chile"	"CH"	"Maule"													-35.44	-71.06													
"loc_141"								"Chile"	"CH"	"Valparaiso"													-33.04	-71.5													
"loc_142"								"Chile"	"CH"	"Valparaiso"													-33.061	-71.059													
"loc_143"								"Chile"	"CH"	"Valparaiso"													-33.278	-71.415													
"loc_144"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.38	-70.417													
"loc_145"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.392	-71.271													
"loc_146"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.655	-70.323													
"loc_147"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.727	-70.479													
"loc_148"								"Chile"	"CH"	"O'Higgins"													-34.202	-70.522													
"loc_149"								"Chile"	"CH"	"Maule"													-35.439	-71.06													
