"eventId"	"parentEventId"	"datasetId"	"locationId"	"protocolId"	"eventType"	"eventName"	"recordedBy"	"recordedById"	"fieldNumber"	"eventDate"	"year"	"month"	"day"	"verbatimEventDate"	"verbatimLocality"	"verbatimElevation"	"verbatimDepth"	"verbatimCoordinates"	"verbatimLatitude"	"verbatimLongitude"	"verbatimCoordinateSystem"	"verbatimSrs"	"habitat"	"protocolDescription"	"sampleSizeValue"	"sampleSizeUnit"	"eventEffort"	"fieldNotes"	"eventCitation"	"eventRemarks"	"higherGeographyId"	"higherGeography"	"continent"	"waterBody"	"islandGroup"	"island"	"country"	"countryCode"	"stateProvince"	"county"	"municipality"	"locality"	"minimumElevationInMeters"	"maximumElevationInMeters"	"minimumDistanceAboveSurfaceInMeters"	"maximumDistanceAboveSurfaceInMeters"	"minimumDepthInMeters"	"maximumDepthInMeters"	"verticalDatum"	"locationAccordingTo"	"locationRemarks"	"decimalLatitude"	"decimalLongitude"	"geodeticDatum"	"coordinateUncertaintyInMeters"	"coordinatePrecision"	"pointRadiusSpatialFit"	"footprintWkt"	"footprintSrs"	"footprintSpatialFit"	"georeferencedBy"	"georeferencedDate"	"georeferenceProtocol"	"georeferenceSources"	"georeferenceRemarks"	"preferredSpatialRepresentation"
"evt_58"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_59"					"ORGANISM_INTERACTION"					""					""	""		"38°- 42° S"																			"Chile"		"Los Lagos"			""																								
"evt_60"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_61"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_62"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_63"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_64"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_65"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_66"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_67"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_68"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_69"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_70"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_71"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_72"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_73"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_74"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_75"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_76"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_77"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_78"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_79"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_80"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_81"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_82"					"ORGANISM_INTERACTION"					""					""	""		"38°- 42° S"																			"Chile"		"Los Lagos"			""																								
"evt_83"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_84"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_85"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_86"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_87"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
