"eventId"	"subjectOrganismId"	"interactionType"	"interactionTypeId"	"objectOrganismId"
"evt_155"	"107"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_155"
"evt_156"	"107"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_156"
"evt_157"	"108"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_157"
"evt_158"	"109"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_158"
"evt_159"	"110"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_159"
"evt_160"	"111"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_160"
"evt_161"	"112"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_161"
"evt_162"	"113"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_162"
"evt_163"	"114"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_163"
"evt_164"	"115"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_164"
"evt_165"	"116"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_165"
"evt_166"	"117"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_166"
"evt_167"	"117"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_167"
"evt_168"	"118"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_168"
"evt_169"	"119"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_169"
"evt_170"	"120"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_170"
"evt_171"	"121"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_171"
"evt_172"	"122"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_172"
"evt_173"	"123"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_173"
"evt_174"	"124"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_174"
"evt_175"	"125"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_175"
"evt_176"	"126"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_176"
"evt_177"	"127"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_177"
"evt_178"	"128"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_178"
"evt_179"	"129"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_179"
"evt_180"	"130"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_180"
"evt_181"	"131"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_181"
"evt_182"	"132"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_182"
"evt_183"	"132"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_183"
"evt_184"	"132"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_184"
"evt_185"	"132"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_185"
"evt_186"	"132"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_186"
"evt_187"	"132"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_187"
"evt_188"	"132"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_188"
"evt_189"	"133"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_189"
"evt_190"	"134"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_190"
"evt_191"	"134"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_191"
"evt_192"	"134"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_192"
"evt_193"	"134"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_193"
"evt_194"	"135"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_194"
"evt_195"	"135"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_195"
"evt_196"	"135"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_196"
"evt_197"	"136"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_197"
"evt_198"	"136"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_198"
"evt_199"	"137"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_199"
"evt_200"	"138"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_200"
"evt_201"	"139"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_201"
"evt_202"	"140"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_202"
"evt_203"	"141"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_203"
"evt_204"	"141"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_204"
"evt_205"	"142"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_205"
"evt_206"	"142"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_206"
"evt_207"	"143"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_207"
"evt_208"	"143"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_208"
"evt_209"	"143"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_209"
"evt_210"	"143"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_210"
"evt_211"	"144"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_211"
"evt_212"	"144"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_212"
"evt_213"	"145"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_213"
"evt_214"	"146"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_214"
"evt_215"	"146"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_215"
"evt_216"	"146"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_216"
"evt_217"	"147"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_217"
"evt_218"	"147"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_218"
"evt_219"	"147"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_219"
"evt_220"	"148"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_220"
"evt_221"	"149"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_221"
"evt_222"	"150"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_222"
"evt_223"	"151"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_223"
"evt_224"	"151"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_224"
"evt_225"	"152"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_225"
"evt_226"	"153"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_226"
"evt_227"	"153"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_227"
"evt_228"	"153"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_228"
"evt_229"	"154"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_229"
"evt_230"	"154"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_230"
"evt_231"	"155"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_231"
"evt_232"	"155"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_232"
"evt_233"	"155"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_233"
"evt_234"	"156"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_234"
"evt_235"	"156"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_235"
"evt_236"	"156"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_236"
"evt_237"	"157"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_237"
"evt_238"	"158"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_238"
"evt_239"	"158"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_239"
"evt_240"	"159"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_240"
"evt_241"	"160"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_241"
"evt_242"	"160"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_242"
"evt_243"	"160"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_243"
"evt_244"	"160"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_244"
"evt_245"	"161"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_245"
"evt_246"	"161"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_246"
"evt_247"	"161"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_247"
"evt_248"	"161"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_248"
"evt_249"	"162"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_249"
"evt_250"	"163"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_250"
"evt_251"	"163"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_251"
"evt_252"	"163"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_252"
"evt_253"	"163"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_253"
"evt_254"	"164"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_254"
"evt_255"	"165"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_255"
"evt_256"	"165"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_256"
"evt_257"	"166"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_257"
"evt_258"	"167"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_258"
"evt_259"	"168"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_259"
"evt_260"	"169"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_260"
"evt_261"	"169"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_261"
"evt_262"	"169"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_262"
"evt_263"	"170"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_263"
"evt_264"	"171"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_264"
"evt_265"	"171"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_265"
"evt_266"	"171"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_266"
"evt_267"	"172"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_267"
"evt_268"	"173"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_268"
"evt_269"	"173"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_269"
"evt_270"	"174"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_270"
"evt_271"	"175"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_271"
"evt_272"	"175"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_272"
"evt_273"	"176"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_273"
"evt_274"	"176"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_274"
"evt_275"	"177"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_275"
"evt_276"	"177"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_276"
"evt_277"	"178"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_277"
"evt_278"	"179"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_278"
"evt_279"	"180"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_279"
"evt_280"	"180"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_280"
"evt_281"	"180"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_281"
"evt_282"	"180"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_282"
