assertion_target_id,assertion_target_type,assertion_type,assertion_value,assertion_value_numeric,assertion_unit,assertion_made_date,assertion_effective_date,assertion_by_agent_name,assertion_by_agent_id,assertion_protocol,assertion_protocol_id,assertion_citation,assertion_remarks
b294c83a2d63f43ba13b196b0e18912002732f7c,ORGANISM,sex,M,,,,2018-06-14,,,,,,
a906e9d54507175825b27068816a4f6794f76cd0,ORGANISM,sex,M,,,,2018-06-14,,,,,,
c33ce9f247e0d86313d23483f6b75e149d12b7a1,ORGANISM,sex,M,,,,2018-06-14,,,,,,
3e24e77fbd32fae1658059acd276cee67fdbf07a,ORGANISM,sex,M,,,,2018-06-14,,,,,,
4e8fae7f9907270ab0432effb327bebf573f9080,ORGANISM,sex,M,,,,2018-06-13,,,,,,
fcd18f0e9d7e564c4f04fc2470413cd5f3edeba3,ORGANISM,sex,M,,,,2018-06-13,,,,,,
ce3c9667bb4e3661e1926e94edb20c159d654bfa,ORGANISM,sex,M,,,,2018-06-13,,,,,,
7a4e80e210a4f33fab2dde3b9ef2f2f5fb868388,ORGANISM,sex,M,,,,2018-06-11,,,,,,
590b61d85b237c8c4859c6eb69f1f35bb37f1948,ORGANISM,sex,M,,,,2018-06-11,,,,,,
2e92f2391505bb333f1cae774281551d9f93d810,ORGANISM,sex,F,,,,2018-06-11,,,,,,
5626b7ec7e6c00f5d51334f97129123d5717723a,ORGANISM,sex,M,,,,2018-06-11,,,,,,
b7e4b3cf21df8c4499c9c5099e45e8a3e69d355e,ORGANISM,sex,M,,,,2018-06-11,,,,,,
a78c26e2076d4f9688c0cb201f89b34e4c6ff21d,ORGANISM,sex,M,,,,2018-06-12,,,,,,
1be0e8d426265336372e9edaefdb77b0f36bd411,ORGANISM,sex,M,,,,2018-06-12,,,,,,
d85ebf3bede91dc70e68ee43591b9e842d54339e,ORGANISM,sex,M,,,,2018-06-12,,,,,,
fce051d802cb7023855a3a406975330e3f4e30c3,ORGANISM,sex,F,,,,2018-06-12,,,,,,
20ce02b05cefb6b0e7c014c74f49d8c6e15e0eb4,ORGANISM,sex,M,,,,2018-06-11,,,,,,
1131c9e63d7ad013d38d35e42ce2c8804f93ccf1,ORGANISM,sex,M,,,,2018-06-11,,,,,,
2c3e1282d3a2a50b10011bbf892b7ab1c8e68755,ORGANISM,sex,F,,,,2018-06-11,,,,,,
6c4769b634991bdec55022e396a4f9535df1bb1a,ORGANISM,sex,M,,,,2018-06-11,,,,,,
de8c1aa7d668d6ef811f4c300d56e6e8bda90011,ORGANISM,sex,F,,,,2018-06-11,,,,,,
9a9c1309763cb2f8236ade4f5fdbdd0af649a6ff,ORGANISM,sex,F,,,,2018-06-11,,,,,,
7db5ee21317cc4ad046867d0ce009db5d75a7e20,ORGANISM,sex,M,,,,2018-06-21,,,,,,
b97d2713b6af7896f9cfa5cebdabb9568ce038f2,ORGANISM,sex,M,,,,2018-06-21,,,,,,
5010afdcdfbb1e22b0d99a5b61f84bb8d9a01e75,ORGANISM,sex,M,,,,2018-06-21,,,,,,
f673366c5376876466def9dde4a1372fcefb4fbb,ORGANISM,sex,M,,,,2018-06-21,,,,,,
6751434e33ddf1a2d4e1790d16340fe1d311a0f2,ORGANISM,sex,M,,,,2018-06-21,,,,,,
92c9bd11a544c4f733bb2293f833c08ee4e8a5a2,ORGANISM,sex,M,,,,2018-06-21,,,,,,
e18f1dffc9e34448b1ec9672b09c826eeed98a53,ORGANISM,sex,M,,,,2018-06-21,,,,,,
f59b418d6fa30d8fa4216792d757e242653bf19d,ORGANISM,sex,M,,,,2018-06-21,,,,,,
a1752c7c1c120d344909b12e86e9aaa54df9dfd3,ORGANISM,sex,M,,,,2018-06-21,,,,,,
8dae1a78a3d2b714077c63fc92ebba9b45691a4a,ORGANISM,sex,M,,,,2018-06-21,,,,,,
edc35d7ad28392e6f95d2af2a532a6a2f6e53078,ORGANISM,sex,M,,,,2018-06-21,,,,,,
f15a5da1e5cbe2534450571a4f02d89d4efa6d35,ORGANISM,sex,M,,,,2018-06-14,,,,,,
adb5dd12bf40bed5b372f77bdfe81e42fba790f0,ORGANISM,sex,M,,,,2018-06-14,,,,,,
d5278bb71f394ad1751a49be0a983ce068d1f992,ORGANISM,sex,M,,,,2018-06-14,,,,,,
c27494e4d3642acaff361dc7d8fdd0dd25b013f2,ORGANISM,sex,M,,,,2018-06-14,,,,,,
55c2f2dcceff5f0a31e535ec00c1db2a730a4df2,ORGANISM,sex,F,,,,2018-06-13,,,,,,
9b1288943168f2b37e1787cedc17afe51cca56e7,ORGANISM,sex,F,,,,2018-06-13,,,,,,
3634e795a526de31722baf8e7b959873e035cb74,ORGANISM,sex,F,,,,2018-06-13,,,,,,
17d139c423f5586eb084901235e011035fe9f86f,ORGANISM,sex,F,,,,2018-06-13,,,,,,
cf29fd34455633b03cd2d82ff00a3b450ca273f3,ORGANISM,sex,F,,,,2018-06-13,,,,,,
9a92225634462e2ae1d928287bc80b36c5e201a8,ORGANISM,sex,F,,,,2018-06-13,,,,,,
7151ade606155575168e69fd680d5c157d1fa5d8,ORGANISM,sex,F,,,,2018-06-13,,,,,,
0ddaa5afe9dbcadc3d5a687368f6b9fce823083c,ORGANISM,sex,M,,,,2018-06-13,,,,,,
4524ced01c19950922e618a40c242dd4800d83e0,ORGANISM,sex,M,,,,2018-06-13,,,,,,
e81df565d9a93fb9be703a5ebcfd5f2275ebbe21,ORGANISM,sex,M,,,,2018-06-14,,,,,,
522c4519c9b288c909a146a1da6f70309cb86eee,ORGANISM,sex,F,,,,2018-06-14,,,,,,
f269c833a6d188778ee7653f947b792ac2aa9233,ORGANISM,sex,M,,,,2018-06-12,,,,,,
1ea3ee5730077193f81d9d499ea765b76b982ea7,ORGANISM,sex,M,,,,2018-06-12,,,,,,
42af6973074959ee20f7695a001dc509abfa4cf5,ORGANISM,sex,M,,,,2018-06-12,,,,,,
75c195b189c995fd9a43f659b4924a22ae8e94b9,ORGANISM,sex,M,,,,2018-06-12,,,,,,
e9ae40e702ec786a933f866625603a5916834ed8,ORGANISM,sex,M,,,,2018-06-12,,,,,,
89dd897a75e5f39bd04cd592e93d9aec3ccccbae,ORGANISM,sex,M,,,,2018-06-12,,,,,,
ff1214d20f041aaedb7dcfaf81be54c89d5efbb8,ORGANISM,sex,M,,,,2018-06-12,,,,,,
30d818e8db0ad88ae039185c88ffd1cd1f785e67,ORGANISM,sex,M,,,,2018-06-11,,,,,,
d2b0c8f86822a42d830d5e9c598f9584eb446cc9,ORGANISM,sex,M,,,,2018-06-13,,,,,,
b28c614e64a4b46be84f3d60b5af69548ad89bed,ORGANISM,sex,F,,,,2018-06-13,,,,,,
2f7d824e412c06b7c5ae1e68fccae1617bf5b13b,ORGANISM,sex,F,,,,2018-06-13,,,,,,
8d99489a37906303f8f44e0312ca421a9f571884,ORGANISM,sex,F,,,,2018-06-12,,,,,,
4d9824ce9c9cc7cbd79f19045ef13ac23489a6c1,ORGANISM,sex,M,,,,2018-06-12,,,,,,
2e097f74c9911f01fd933e958119ebe85cb501ae,ORGANISM,sex,M,,,,2018-06-07,,,,,,
32a8a6234dad4fbec790723f1f6e725fca9071a3,ORGANISM,sex,F,,,,2018-06-07,,,,,,
0bb0cc96284fa99e6b73275b89196fda20136c66,ORGANISM,sex,M,,,,2018-06-07,,,,,,
8907fcf9ceed977cfcccf055f9126a91b9ebf3c6,ORGANISM,sex,M,,,,2018-06-07,,,,,,
349d4dd698afc38bed3839f6b7ba42088d103e2c,ORGANISM,sex,M,,,,2018-06-07,,,,,,
d4b312780bf48489d3dc583061a4fad78bc04552,ORGANISM,sex,M,,,,2018-06-07,,,,,,
18704650393d3e3f8fa63e690a59b23b3264b6f7,ORGANISM,sex,M,,,,2018-04-12,,,,,,
0c66b7d86b036371078f590cfb51047e6ac8fc2c,ORGANISM,sex,M,,,,2018-04-12,,,,,,
dbf8245be7b140c101260f76173e352fe03699d0,ORGANISM,sex,M,,,,2018-04-12,,,,,,
b16ae3705b088c80976193be351b11d662f78d8a,ORGANISM,sex,F,,,,2018-04-12,,,,,,
cbd44e1f0163565720071df23abe07e32d72339b,ORGANISM,sex,F,,,,2018-04-12,,,,,,
d21b760b83affb8b20781baaf81778425d46df35,ORGANISM,sex,M,,,,2018-04-12,,,,,,
bcfb024a0e378c70acf965e5afd75ffe6da81a09,ORGANISM,sex,M,,,,2018-09-02,,,,,,
711be1f02d47f21357a543308a961f362109f99d,ORGANISM,sex,M,,,,2018-09-02,,,,,,
